PARK,BOROUGH,QUARTER,SIZE (ACRES),CATEGORY,MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL
JOHN J CARTY PARK,BROOKLYN     ,4,8.57,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
COFFEY PARK,BROOKLYN     ,4,8.27,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BARRETT PARK,STATEN ISLAND,4,8.11,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
RAINEY PARK QUEENS,QUEENS       ,4,8.09,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
LAGUARDIA LANDING LIGHTS,QUEENS       ,4,8.03,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CITY ISLAND WETLANDS,BRONX        ,4,8.01,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
SARA D. ROOSEVELT PARK,MANHATTAN    ,4,7.85,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1
EWEN PARK,BRONX        ,4,7.84,ONE ACRE OR LARGER,0,0,0,1,0,0,0,1
HERBERT VON KING PARK,BROOKLYN     ,4,7.82,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MOUNT PROSPECT PARK,BROOKLYN     ,4,7.79,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
RAINEY PARK BRONX,BRONX        ,4,7.74,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
DETECTIVE KEITH L WILLIAMS PARK,QUEENS       ,4,7.68,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
FLUSHING FIELDS,QUEENS       ,4,7.67,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
PALMER INLET,BRONX        ,4,7.49,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MIDLAND FIELD,STATEN ISLAND,4,7.46,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
SCHMUL PARK,STATEN ISLAND,4,7.40,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BRIDGE PARK BRONX,BRONX        ,4,7.16,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BEACH 30TH STREET PLAYGROUND,QUEENS       ,4,7.12,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BROWER PARK,BROOKLYN     ,4,7.05,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
JOYCE KILMER PARK,BRONX        ,4,6.88,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1
MARIA HERNANDEZ PARK,BROOKLYN     ,4,6.87,ONE ACRE OR LARGER,0,0,1,1,0,1,0,3
THE HIGH LINE,MANHATTAN    ,4,6.73,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
FRIENDS FIELD,BROOKLYN     ,4,6.70,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
LINDOWER PARK,BROOKLYN     ,4,6.70,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
J. HOOD WRIGHT PARK,MANHATTAN    ,4,6.70,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1
WNYC TRANSMITTER PARK,BROOKLYN     ,4,6.61,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
SPUYTEN DUYVIL SHOREFRONT PARK,BRONX        ,4,6.60,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
PARK AVENUE MALLS,MANHATTAN    ,4,6.59,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
WESTWOOD PARK,STATEN ISLAND,4,6.56,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
