,PARK,BOROUGH,QUARTER,CATEGORY,MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL,CRIME OCCURED,VICIOUS CRIMES
145,BENSONHURST PARK,BROOKLYN,1,ONE ACRE OR LARGER,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,0.0
146,LINCOLN TERRACE / ARTHUR S. SOMERS PARK,BROOKLYN,1,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
147,JOHN GOLDEN PARK,QUEENS,1,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
148,BAYVIEW TERRACE PARK,STATEN ISLAND,1,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
149,JONES WOODS PARK,STATEN ISLAND,1,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
150,FRANCIS LEWIS PARK,QUEENS,1,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
151,LEIF ERICSON PARK,BROOKLYN,1,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
152,EIBS POND PARK,STATEN ISLAND,1,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
153,RAILROAD PARK QUEENS,QUEENS,1,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
154,BREUKELEN BALLFIELDS,BROOKLYN,1,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
155,FRANZ SIGEL PARK,BRONX,1,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
156,THOMAS JEFFERSON PARK,MANHATTAN,1,ONE ACRE OR LARGER,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,0.0
157,ALICE AUSTEN PARK,STATEN ISLAND,1,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
158,MILL POND PARK,BRONX,1,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
159,SHERMAN CREEK,MANHATTAN,1,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
160,HARRIS PARK,BRONX,1,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
161,GOODHUE,STATEN ISLAND,1,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
162,MULLALY PARK,BRONX,1,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
163,TREMONT PARK,BRONX,1,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
